depth,age,char Count_i  (#),char Vol_i  (cm3),char Con_i        (# cm-3),charAcc,charBkg         (# cm-2 yr-1),char Peak       (# cm-2 yr-1),thresh          1             (# cm-2 yr-1),thresh          2             (# cm-2 yr-1),thresh          3             (# cm-2 yr-1),thresh FinalPos                 (# cm-2 yr-1),thresh FinalNeg                 (# cm-2 yr-1),SNI    (index)         ,thresh GOF         (p-val),peaks         1           ,peaks         2           ,peaks         3           ,peaks         Final    ,peaks Insig.,peak           Mag              (# cm-2 peak-1),smPeak Frequ       (peaks 1ka-1),smFRIs       (yr*fire-1),nFRIs       (#),mFRI       (yr fire-1),mFRI_uCI      (yr fire-1),mFRI_lCI     (yr fire-1),WBLb      (yr),WBLb_uCI      (yr),WBLb_lCI     (yr fire-1),WBLc     (unitless),WBLc_uCI     (unitless),WBLc_lCI     (unitless)
824.33,13909,39,1,39,0.4535,0.2211,0.2323,0.0657,0.1137,0.1674,0.1137,-0.2135,4.77,0.01,0,0,0,0,0,0,1.81,338,,,,,,,,,,
824.56,13929,39,1,39,0.4535,0.2221,0.2314,0.0689,0.118,0.1731,0.118,-0.2175,4.73,0.99,0,0,0,0,0,0,1.82,338,,,,,,,,,,
824.79,13949,38,1,37.7,0.4534,0.2217,0.2318,0.0716,0.1218,0.1781,0.1218,-0.2211,4.69,0.92,0,0,0,0,0,0,1.84,338,,,,,,,,,,
825.03,13969,26,1,26,0.4063,0.2202,0.1861,0.0736,0.1247,0.182,0.1247,-0.2243,4.64,0.66,0,0,0,0,0,0,1.86,338,,,,,,,,,,
825.34,13989,26,1,26,0.4063,0.2177,0.1886,0.0748,0.1265,0.1846,0.1265,-0.2268,4.61,0.96,0,0,0,0,0,0,1.88,338,,,,,,,,,,
825.66,14009,26,1,26,0.4063,0.2142,0.1921,0.0752,0.1274,0.1859,0.1274,-0.2288,4.58,0,0,0,0,0,0,0,1.9,338,,,,,,,,,,
825.97,14029,23,1,23.3,0.5241,0.2097,0.3144,0.0752,0.1277,0.1865,0.1277,-0.2304,4.57,0,0,0,0,0,0,0,1.92,338,,,,,,,,,,
826.42,14049,23,1,23,0.5349,0.2039,0.331,0.0753,0.1281,0.1872,0.1281,-0.2321,4.56,0.89,1,1,1,1,0,29.286,1.95,338,,,,,,,,,,
826.88,14069,6,1,5.75,0.1293,0.1964,-0.0671,0.076,0.1292,0.1889,0.1292,-0.2341,4.57,0.01,0,0,0,0,0,0,1.98,338,,,,,,,,,,
827.33,14089,0,1,0,0,0.1867,-0.1867,0.0777,0.1316,0.1921,0.1316,-0.2368,4.59,0.78,0,0,0,0,0,0,2.01,338,,,,,,,,,,
827.78,14109,2,1,1.5,0.032,0.1747,-0.1427,0.0803,0.1353,0.1969,0.1353,-0.24,4.65,0.03,0,0,0,0,0,0,2.05,339,,,,,,,,,,
828.2,14129,3,1,3,0.0612,0.1606,-0.0994,0.0836,0.1398,0.2028,0.1398,-0.2438,4.74,1,0,0,0,0,0,0,2.08,339,,,,,,,,,,
828.61,14149,3,1,2.85,0.058,0.145,-0.087,0.0874,0.1449,0.2093,0.1449,-0.2477,4.88,0.05,0,0,0,0,0,0,2.11,339,,,,,,,,,,
829.02,14169,0,1,0,0,0.1288,-0.1288,0.0913,0.1501,0.2161,0.1501,-0.2518,5.06,0.7,0,0,0,0,0,0,2.15,339,,,,,,,,,,
829.4,14189,0,1,0,0,0.1132,-0.1132,0.0951,0.1553,0.2228,0.1553,-0.2558,5.28,0.77,0,0,0,0,0,0,2.18,339,,,,,,,,,,
829.79,14209,1,1,0.9,0.0205,0.0992,-0.0787,0.0986,0.16,0.2289,0.16,-0.2595,5.53,0.88,0,0,0,0,0,0,2.22,339,,,,,,,,,,
830.24,14229,2,1,2,0.0541,0.0874,-0.0333,0.1014,0.1638,0.2339,0.1638,-0.2626,5.82,0.98,0,0,0,0,0,0,2.25,339,,,,,,,,,,
830.78,14249,1,1,0.8,0.0286,0.078,-0.0493,0.1032,0.1664,0.2373,0.1664,-0.265,6.13,0.98,0,0,0,0,0,0,2.28,339,,,,,,,,,,
831.5,14269,0,1,0.4,0.0173,0.0713,-0.054,0.1042,0.1678,0.2392,0.1678,-0.2667,6.46,0.99,0,0,0,0,0,0,2.31,339,,,,,,,,,,
832.36,14289,1,1,0.7,0.0328,0.0676,-0.0348,0.1048,0.1687,0.2404,0.1687,-0.2679,6.79,1,0,0,0,0,0,0,2.34,339,,,,,,,,,,
833.3,14309,2,1,1.8,0.09,0.0669,0.0231,0.1056,0.17,0.242,0.17,-0.2691,7.12,1,0,0,0,0,0,0,2.37,339,,,,,,,,,,
834.3,14329,4,1,4.2,0.207,0.0692,0.1378,0.1076,0.1725,0.2453,0.1725,-0.2707,7.42,0.03,0,0,0,0,0,0,2.39,340,,,,,,,,,,
835.29,14349,0,1,0.25,0.0118,0.0767,-0.0649,0.1112,0.1772,0.2511,0.1772,-0.2731,7.69,0.03,0,0,0,0,0,0,2.41,338,,,,,,,,,,
836.23,14369,1,1,0.85,0.0386,0.0853,-0.0467,0.1167,0.1842,0.2598,0.1842,-0.2763,7.93,0.02,0,0,0,0,0,0,2.43,337,,,,,,,,,,
837.14,14389,0,1,0.2,0.0091,0.0945,-0.0854,0.1241,0.1935,0.2713,0.1935,-0.2803,8.13,0.03,0,0,0,0,0,0,2.44,335,,,,,,,,,,
838.04,14409,4,1,4,0.1739,0.1023,0.0716,0.1333,0.2051,0.2856,0.2051,-0.2852,8.31,0.53,0,0,0,0,0,0,2.45,334,,,,,,,,,,
838.91,14429,0,1,0.4,0.0207,0.1115,-0.0908,0.1437,0.2183,0.3018,0.2183,-0.2908,8.45,0.57,0,0,0,0,0,0,2.46,332,,,,,,,,,,
