depth,age,char Count_i  (#),char Vol_i  (cm3),char Con_i        (# cm-3),charAcc,charBkg         (# cm-2 yr-1),char Peak       (# cm-2 yr-1),thresh          1             (# cm-2 yr-1),thresh          2             (# cm-2 yr-1),thresh          3             (# cm-2 yr-1),thresh FinalPos                 (# cm-2 yr-1),thresh FinalNeg                 (# cm-2 yr-1),SNI    (index)         ,thresh GOF         (p-val),peaks         1           ,peaks         2           ,peaks         3           ,peaks         Final    ,peaks Insig.,peak           Mag              (# cm-2 peak-1),smPeak Frequ       (peaks 1ka-1),smFRIs       (yr*fire-1),nFRIs       (#),mFRI       (yr fire-1),mFRI_uCI      (yr fire-1),mFRI_lCI     (yr fire-1),WBLb      (yr),WBLb_uCI      (yr),WBLb_lCI     (yr fire-1),WBLc     (unitless),WBLc_uCI     (unitless),WBLc_lCI     (unitless)
757.53,11401,42,1,41.5,2.0698,2.2358,-0.166,1.0281,1.5739,2.1857,1.5739,-2.1525,2.02,0.7,0,0,0,0,0,0,2.03,254,,,,,,,,,,
758.52,11421,26,1,25.5,1.2143,2.2852,-1.0709,1.0618,1.6178,2.2411,1.6178,-2.1784,1.94,0.22,0,0,0,0,0,0,2.11,254,,,,,,,,,,
759.48,11441,20,1,20.3,0.9884,2.334,-1.3455,1.0944,1.6606,2.2953,1.6606,-2.2051,1.86,0.14,0,0,0,0,0,0,2.19,254,,,,,,,,,,
760.45,11461,16,1,16.1,0.7878,2.3884,-1.6006,1.1274,1.704,2.3503,1.704,-2.2324,1.79,0.09,0,0,0,0,0,0,2.27,253,,,,,,,,,,
761.43,11481,18,1,17.8,0.8646,2.4356,-1.571,1.1625,1.7498,2.4081,1.7498,-2.2599,1.7,0.08,0,0,0,0,0,0,2.35,253,,,,,,,,,,
762.4,11501,34,1,34,1.6676,2.4861,-0.8185,1.2002,1.7987,2.4695,1.7987,-2.2875,1.62,0.03,0,0,0,0,0,0,2.43,253,,,,,,,,,,
763.38,11521,59,1,58.65,2.7484,2.5294,0.219,1.2397,1.8497,2.5334,1.8497,-2.3149,1.53,0.01,0,0,0,0,0,0,2.51,252,,,,,,,,,,
764.32,11541,65,1,65,3.0712,2.5682,0.503,1.2787,1.8999,2.5962,1.8999,-2.341,1.45,0.01,0,0,0,0,0,0,2.59,249,,,,,,,,,,
765.26,11561,61,1,60.5,3.1842,2.6028,0.5814,1.3161,1.9478,2.656,1.9478,-2.3653,1.38,0.46,0,0,0,0,0,0,2.67,244,,,,,,,,,,
766.32,11581,89,1,88.85,4.5204,2.6389,1.8815,1.3518,1.9934,2.7126,1.9934,-2.3872,1.31,0.51,1,0,0,0,0,0,2.75,238,,,,,,,,,,
